temperature,humidity,precipitation,precip_prob,pressure,wind_speed,cloud_cover,visibility,uv_index,moon_phase,fishing_quality_score
42.3,98.0,0.326,100.0,1023.3,3.2,91.3,4.0,0.0,0.5,0.645
48.8,87.3,0.053,100.0,1020.4,13.4,93.6,7.1,3.0,0.5,0.6699999999999999
32.8,57.9,0.0,0.0,1014.4,23.0,70.4,9.9,8.0,0.5,0.5
45.8,34.5,0.0,0.0,1012.7,17.9,24.3,6.6,6.0,0.47,0.46
76.5,48.5,0.0,0.0,1015.5,24.9,17.5,6.2,10.0,0.47,0.6400000000000001
34.4,61.4,0.0,0.0,1020.1,20.9,45.3,9.9,3.0,0.5,0.52
43.2,80.3,0.005,100.0,1022.8,14.6,98.2,9.4,0.0,0.5,0.7
50.5,95.9,0.003,100.0,1017.5,18.6,99.0,4.7,1.0,0.5,0.6599999999999999
47.8,37.9,0.0,0.0,1024.7,7.3,12.6,10.0,5.0,0.5,0.6399999999999999
34.4,61.4,0.0,0.0,1020.1,20.9,45.3,9.9,3.0,0.5,0.52
44.6,89.5,0.126,100.0,998.9,13.6,66.7,5.9,0.0,0.5,0.52
74.6,36.7,0.0,0.0,1010.4,25.3,71.4,6.2,5.0,0.47,0.75
50.5,95.9,0.003,100.0,1017.5,18.6,99.0,4.7,1.0,0.5,0.6599999999999999
42.3,98.0,0.326,100.0,1023.3,3.2,91.3,4.0,0.0,0.5,0.645
41.1,76.0,0.035,61.0,1021.5,5.9,73.1,8.8,2.0,0.5,0.76
43.3,94.6,0.481,100.0,1026.0,7.1,95.8,5.4,1.0,0.5,0.69
74.6,36.7,0.0,0.0,1010.4,25.3,71.4,6.2,5.0,0.47,0.75
41.1,76.0,0.035,61.0,1021.5,5.9,73.1,8.8,2.0,0.5,0.76
50.7,71.1,0.0,1.0,1023.9,14.5,33.8,9.9,5.0,0.5,0.6299999999999999
23.5,60.9,0.012,100.0,1021.3,29.4,62.5,9.5,2.0,0.5,0.5800000000000001
47.8,37.9,0.0,0.0,1024.7,7.3,12.6,10.0,5.0,0.5,0.6399999999999999
37.5,94.9,0.308,100.0,1010.9,5.8,88.0,5.7,0.0,0.48,0.69
55.6,40.7,0.0,0.0,1019.6,9.8,11.7,10.0,0.0,0.5,0.77
47.8,37.9,0.0,0.0,1024.7,7.3,12.6,10.0,5.0,0.5,0.6399999999999999
25.8,65.5,0.0,1.0,1019.1,9.7,34.6,9.7,8.0,0.5,0.5900000000000001
5.6,67.2,0.0,8.0,1025.0,16.2,46.3,9.6,3.0,0.5,0.52
41.1,76.0,0.035,61.0,1021.5,5.9,73.1,8.8,2.0,0.5,0.76
74.6,36.7,0.0,0.0,1010.4,25.3,71.4,6.2,5.0,0.47,0.75
50.7,71.1,0.0,1.0,1023.9,14.5,33.8,9.9,5.0,0.5,0.6299999999999999
43.2,80.3,0.005,100.0,1022.8,14.6,98.2,9.4,0.0,0.5,0.7
44.6,89.5,0.126,100.0,998.9,13.6,66.7,5.9,0.0,0.5,0.52
14.2,60.5,0.0,1.0,1028.1,13.6,20.5,9.9,2.0,0.5,0.6099999999999999
23.5,60.9,0.012,100.0,1021.3,29.4,62.5,9.5,2.0,0.5,0.5800000000000001
43.3,94.6,0.481,100.0,1026.0,7.1,95.8,5.4,1.0,0.5,0.69
25.8,65.5,0.0,1.0,1019.1,9.7,34.6,9.7,8.0,0.5,0.5900000000000001
35.0,50.5,0.0,0.0,1018.2,21.2,55.5,9.9,4.0,0.5,0.52
66.5,77.1,0.0,0.0,1019.6,7.2,34.7,9.9,6.0,0.5,0.81
55.6,40.7,0.0,0.0,1019.6,9.8,11.7,10.0,0.0,0.5,0.77
44.6,89.5,0.126,100.0,998.9,13.6,66.7,5.9,0.0,0.5,0.52
50.5,95.9,0.003,100.0,1017.5,18.6,99.0,4.7,1.0,0.5,0.6599999999999999
74.4,78.0,0.0,0.0,1019.1,11.4,42.0,9.9,6.0,0.5,0.8400000000000001
34.4,61.4,0.0,0.0,1020.1,20.9,45.3,9.9,3.0,0.5,0.52
22.6,62.4,0.0,0.0,1024.9,12.6,32.8,8.8,2.0,0.5,0.6099999999999999
46.1,75.5,0.032,100.0,1016.6,19.3,69.0,6.1,3.0,0.48,0.55
44.7,93.7,0.159,100.0,1023.7,9.5,93.6,6.1,0.0,0.5,0.73
5.6,67.2,0.0,8.0,1025.0,16.2,46.3,9.6,3.0,0.5,0.52
50.5,95.9,0.003,100.0,1017.5,18.6,99.0,4.7,1.0,0.5,0.6599999999999999
74.4,78.0,0.0,0.0,1019.1,11.4,42.0,9.9,6.0,0.5,0.8400000000000001
50.5,95.9,0.003,100.0,1017.5,18.6,99.0,4.7,1.0,0.5,0.6599999999999999
42.3,98.0,0.326,100.0,1023.3,3.2,91.3,4.0,0.0,0.5,0.645
44.4,89.6,0.033,100.0,1005.0,11.8,88.6,11.9,1.0,0.48,0.76
74.6,36.7,0.0,0.0,1010.4,25.3,71.4,6.2,5.0,0.47,0.75
45.8,34.5,0.0,0.0,1012.7,17.9,24.3,6.6,6.0,0.47,0.46
66.5,77.1,0.0,0.0,1019.6,7.2,34.7,9.9,6.0,0.5,0.81
50.5,95.9,0.003,100.0,1017.5,18.6,99.0,4.7,1.0,0.5,0.6599999999999999
44.7,93.7,0.159,100.0,1023.7,9.5,93.6,6.1,0.0,0.5,0.73
43.3,94.6,0.481,100.0,1026.0,7.1,95.8,5.4,1.0,0.5,0.69
43.2,80.3,0.005,100.0,1022.8,14.6,98.2,9.4,0.0,0.5,0.7
45.8,34.5,0.0,0.0,1012.7,17.9,24.3,6.6,6.0,0.47,0.46
41.1,76.0,0.035,61.0,1021.5,5.9,73.1,8.8,2.0,0.5,0.76
45.8,34.5,0.0,0.0,1012.7,17.9,24.3,6.6,6.0,0.47,0.46
50.7,71.1,0.0,1.0,1023.9,14.5,33.8,9.9,5.0,0.5,0.6299999999999999
76.5,48.5,0.0,0.0,1015.5,24.9,17.5,6.2,10.0,0.47,0.6400000000000001
61.6,41.7,0.0,0.0,1020.1,18.7,46.2,9.9,4.0,0.5,0.6699999999999999
48.8,87.3,0.053,100.0,1020.4,13.4,93.6,7.1,3.0,0.5,0.6699999999999999
50.7,71.1,0.0,1.0,1023.9,14.5,33.8,9.9,5.0,0.5,0.6299999999999999
55.6,40.7,0.0,0.0,1019.6,9.8,11.7,10.0,0.0,0.5,0.77
25.8,65.5,0.0,1.0,1019.1,9.7,34.6,9.7,8.0,0.5,0.5900000000000001
34.4,61.4,0.0,0.0,1020.1,20.9,45.3,9.9,3.0,0.5,0.52
34.4,61.4,0.0,0.0,1020.1,20.9,45.3,9.9,3.0,0.5,0.52
42.3,98.0,0.326,100.0,1023.3,3.2,91.3,4.0,0.0,0.5,0.645
50.7,71.1,0.0,1.0,1023.9,14.5,33.8,9.9,5.0,0.5,0.6299999999999999
50.7,71.1,0.0,1.0,1023.9,14.5,33.8,9.9,5.0,0.5,0.6299999999999999
35.5,91.7,0.0,0.0,1011.7,11.4,82.9,6.3,3.0,0.48,0.7
74.6,36.7,0.0,0.0,1010.4,25.3,71.4,6.2,5.0,0.47,0.75
44.4,89.6,0.033,100.0,1005.0,11.8,88.6,11.9,1.0,0.48,0.76
35.5,91.7,0.0,0.0,1011.7,11.4,82.9,6.3,3.0,0.48,0.7
74.4,78.0,0.0,0.0,1019.1,11.4,42.0,9.9,6.0,0.5,0.8400000000000001
35.0,50.5,0.0,0.0,1018.2,21.2,55.5,9.9,4.0,0.5,0.52
46.1,75.5,0.032,100.0,1016.6,19.3,69.0,6.1,3.0,0.48,0.55
55.6,40.7,0.0,0.0,1019.6,9.8,11.7,10.0,0.0,0.5,0.77
41.1,76.0,0.035,61.0,1021.5,5.9,73.1,8.8,2.0,0.5,0.76
66.5,77.1,0.0,0.0,1019.6,7.2,34.7,9.9,6.0,0.5,0.81
74.4,78.0,0.0,0.0,1019.1,11.4,42.0,9.9,6.0,0.5,0.8400000000000001
55.6,40.7,0.0,0.0,1019.6,9.8,11.7,10.0,0.0,0.5,0.77
25.8,65.5,0.0,1.0,1019.1,9.7,34.6,9.7,8.0,0.5,0.5900000000000001
46.1,75.5,0.032,100.0,1016.6,19.3,69.0,6.1,3.0,0.48,0.55
76.5,48.5,0.0,0.0,1015.5,24.9,17.5,6.2,10.0,0.47,0.6400000000000001
74.4,78.0,0.0,0.0,1019.1,11.4,42.0,9.9,6.0,0.5,0.8400000000000001
76.5,48.5,0.0,0.0,1015.5,24.9,17.5,6.2,10.0,0.47,0.6400000000000001
43.3,94.6,0.481,100.0,1026.0,7.1,95.8,5.4,1.0,0.5,0.69
46.1,75.5,0.032,100.0,1016.6,19.3,69.0,6.1,3.0,0.48,0.55
66.5,77.1,0.0,0.0,1019.6,7.2,34.7,9.9,6.0,0.5,0.81
41.1,76.0,0.035,61.0,1021.5,5.9,73.1,8.8,2.0,0.5,0.76
42.3,98.0,0.326,100.0,1023.3,3.2,91.3,4.0,0.0,0.5,0.645
14.2,60.5,0.0,1.0,1028.1,13.6,20.5,9.9,2.0,0.5,0.6099999999999999
35.0,50.5,0.0,0.0,1018.2,21.2,55.5,9.9,4.0,0.5,0.52
25.8,65.5,0.0,1.0,1019.1,9.7,34.6,9.7,8.0,0.5,0.5900000000000001
43.2,80.3,0.005,100.0,1022.8,14.6,98.2,9.4,0.0,0.5,0.7
35.0,50.5,0.0,0.0,1018.2,21.2,55.5,9.9,4.0,0.5,0.52
